word_id,spanish
8,ser
11,haber
17,estar
18,tener
25,hacer
27,poder
28,decir
30,ir
37,ver
39,dar
46,saber
57,querer
66,llegar
67,pasar
75,deber
77,poner
81,parecer
89,quedar
91,creer
92,hablar
93,llevar
94,dejar
97,seguir
100,encontrar
104,llamar
105,venir
106,pensar
111,salir
112,volver
122,tomar
124,conocer
128,vivir
131,sentir
134,tratar
142,mirar
155,contar
161,empezar
163,esperar
173,buscar
177,existir
179,entrar
183,trabajar
187,escribir
190,perder
195,producir
200,ocurrir
203,entender
204,pedir
205,recibir
215,recordar
219,terminar
220,permitir
221,aparecer
222,conseguir
223,comenzar
226,servir
228,sacar
229,necesitar
234,mantener
238,resultar
244,leer
245,caer
246,cambiar
249,presentar
251,crear
252,abrir
261,considerar
263,oír
266,acabar
271,convertir
286,ganar
287,formar
289,traer
290,partir
293,morir
296,aceptar
299,realizar
305,suponer
306,comprender
311,lograr
316,explicar
323,preguntar
325,tocar
327,reconocer
328,estudiar
329,alcanzar
330,nacer
331,dirigir
332,correr
338,utilizar
342,pagar
345,ayudar
353,gustar
355,jugar
360,escuchar
363,cumplir
368,ofrecer
369,descubrir
372,levantar
376,intentar
380,usar
381,decidir
382,repetir
383,olvidar
387,valer
389,comer
392,mostrar
397,ocupar
402,mover
403,continuar
406,suceder
407,fijar
409,referir
410,acercar
415,dedicar
422,aprender
437,comprar
443,subir
446,evitar
448,interesar
454,cerrar
455,echar
456,responder
457,sufrir
464,importar
466,obtener
478,observar
479,indicar
486,imaginar
487,soler
490,detener
491,desarrollar
493,señalar
494,elegir
499,preparar
500,proponer
501,demostrar
502,significar
509,reunir
510,faltar
512,acompañar
515,desear
524,enseñar
525,construir
526,vender
527,representar
528,desaparecer
529,mandar
536,andar
541,preferir
542,asegurar
552,crecer
553,surgir
557,matar
558,entregar
562,colocar
565,establecer
566,guardar
568,iniciar
569,bajar
571,notar
573,meter
576,actuar
584,pretender
595,acordar
597,cortar
599,corresponder
601,romper
603,adquirir
611,lanzar
612,aprovechar
616,apoyar
617,negar
618,avanzar
622,resolver
626,costar
630,exigir
633,aumentar
634,recoger
638,abandonar
641,imponer
642,obligar
650,aplicar
654,pertenecer
658,disponer
660,expresar
663,provocar
665,defender
669,quitar
670,conservar
673,depender
677,marcar
681,compartir
688,consistir
689,constituir
691,cubrir
692,funcionar
695,caber
697,atender
699,insistir
710,sentar
716,merecer
720,incluir
726,cruzar
727,tender
730,anunciar
734,despertar
742,comentar
743,publicar
748,cargar
750,participar
751,impedir
753,salvar
757,escapar
759,tirar
764,contestar
766,preocupar
767,prestar
770,pesar
773,exponer
790,viajar
792,separar
799,regresar
807,contemplar
808,recorrer
812,durar
817,retirar
821,permanecer
822,asistir
825,organizar
829,contener
834,visitar
835,informar
842,enviar
846,cuidar
847,intervenir
851,extender
852,comprobar
857,dormir
859,discutir
862,enfrentar
868,conducir
870,firmar
880,respetar
883,sostener
887,advertir
891,transformar
899,bastar
905,mencionar
910,plantear
911,probar
916,manejar
918,unir
919,caminar
920,coincidir
925,llenar
926,dominar
929,medir
937,atravesar
941,destacar
944,pronunciar
945,distinguir
949,introducir
952,comunicar
954,invitar
958,instalar
959,tardar
960,mejorar
962,emplear
964,convenir
965,recuperar
974,definir
975,superar
978,afirmar
983,interpretar
985,admitir
986,identificar
991,afectar
996,reducir
998,montar
1001,parar
1003,devolver
1004,ejercer
1005,poseer
1006,proteger
1007,causar
1009,determinar
1013,cobrar
1015,dividir
1018,inventar
1021,limitar
1026,luchar
1044,acudir
1048,analizar
1054,encargar
1057,destinar
1058,comparar
1059,celebrar
1068,sonar
1069,manifestar
1070,controlar
1071,saltar
1077,citar
1081,requerir
1087,incorporar
1094,perseguir
1100,procurar
1105,casar
1116,someter
1117,fundar
1123,elevar
1124,cantar
1132,asumir
1133,aclarar
1134,arrastrar
1136,declarar
1147,nombrar
1149,confundir
1151,describir
1155,calcular
1156,conformar
1158,pintar
1161,repartir
1166,hallar
1167,ordenar
1169,convencer
1174,rodear
1176,reflejar
1182,rechazar
1183,contribuir
1193,vencer
1196,alejar
1202,transmitir
1203,marchar
1207,destruir
1209,opinar
1213,cometer
1219,trasladar
1221,concluir
1225,oponer
1227,figurar
1233,concentrar
1247,ignorar
1252,dudar
1257,descansar
1267,adoptar
1268,arrancar
1269,disfrutar
1272,molestar
1276,atrever
1289,ceder
1293,atraer
1301,acumular
1303,practicar
1304,gozar
1308,justificar
1310,soportar
1312,resistir
1317,vestir
1320,sorprender
1322,proceder
1323,condenar
1326,consumir
1327,sugerir
1331,conceder
1336,componer
1351,arreglar
1354,animar
1361,apuntar
1363,liberar
1369,añadir
1371,girar
1376,volar
1381,facilitar
1384,solicitar
1387,temer
1393,atacar
1395,pegar
1396,juzgar
1405,interrumpir
1408,fabricar
1423,confiar
1424,operar
1430,basar
1433,estimar
1435,confirmar
1439,integrar
1443,aprobar
1448,grabar
1457,equivocar
1466,llorar
1471,proyectar
1476,beber
1483,apreciar
1484,experimentar
1486,amar
1492,robar
1493,reír
1500,mezclar
1503,distribuir
1505,apartar
1507,reclamar
1509,quemar
1513,obedecer
1517,satisfacer
1518,concebir
1521,reaccionar
1524,acusar
1526,gastar
1528,regalar
1530,quejar
1531,penetrar
1534,rendir
1536,registrar
1537,limpiar
1539,atribuir
1541,ocultar
1543,enterar
1545,ajustar
1552,aspirar
1555,recurrir
1574,huir
1575,percibir
1579,transcurrir
1581,recomendar
1585,corregir
1587,consultar
1590,padecer
1592,elaborar
1593,soñar
1597,gritar
1603,traducir
1608,sumar
1609,alimentar
1612,eliminar
1621,renunciar
1628,acostumbrar
1632,revisar
1633,carecer
1641,prometer
1645,descender
1654,reproducir
1655,constar
1661,asociar
1662,desconocer
1664,fallar
1678,perdonar
1681,agradecer
1682,admirar
1691,revelar
1708,agregar
1718,completar
1726,combatir
1738,aportar
1739,derivar
1741,prohibir
1742,proporcionar
1744,saludar
1745,relacionar
1749,investigar
1750,ubicar
1758,modificar
1762,lavar
1764,invadir
1771,desplazar
1777,adelantar
1780,examinar
1786,sustituir
1788,implicar
1791,ingresar
1792,respirar
1802,esconder
1809,alterar
1811,emitir
1814,inclinar
1819,desprender
1822,circular
1823,pelear
1828,aconsejar
1846,arrojar
1849,criticar
1850,hundir
1861,encerrar
1869,denominar
1875,impulsar
1877,empujar
1881,dictar
1883,chocar
1890,borrar
1895,aguantar
1896,coger
1904,golpear
1909,ascender
1911,complicar
1917,engañar
1919,agotar
1923,precisar
1929,suspender
1931,ampliar
1936,cultivar
1938,explotar
1940,despedir
1943,colaborar
1945,invertir
1958,provenir
1959,forzar
1962,criar
1972,confesar
1981,doblar
1982,disminuir
1983,averiguar
1984,sospechar
1985,pasear
1995,depositar
1996,captar
1998,empeñar
1999,sobrevivir
2022,influir
2034,multiplicar
2037,doler
2044,favorecer
2048,escoger
2049,colgar
2053,llover
2056,absorber
2063,imitar
2068,educar
2069,comprometer
2070,aproximar
2071,bailar
2072,inspirar
2074,agarrar
2077,prolongar
2087,adaptar
2089,situar
2097,curar
2100,desempeñar
2102,extraer
2104,apagar
2105,prever
2110,expulsar
2122,exhibir
2129,tapar
2130,acceder
2133,encender
2141,disparar
2153,atar
2157,generar
2163,abarcar
2170,brindar
2184,solucionar
2196,acomodar
2210,variar
2224,otorgar
2227,cesar
2239,amenazar
2245,callar
2247,vigilar
2250,orientar
2254,portar
2268,avisar
2269,renovar
2272,soltar
2273,abordar
2274,castigar
2277,fracasar
2279,calificar
2280,juntar
2285,ejecutar
2288,protestar
2292,impresionar
2294,comportar
2317,dibujar
2322,gobernar
2324,deshacer
2328,reconstruir
2332,denunciar
2345,garantizar
2348,combinar
2356,divertir
2358,conquistar
2363,envolver
2365,emprender
2366,anticipar
2375,quebrar
2382,equilibrar
2383,asomar
2384,optar
2401,estallar
2402,copiar
2403,inaugurar
2404,apretar
2416,mentir
2418,contratar
2452,retener
2454,prender
2462,formular
2472,fumar
2474,especializar
2476,caracterizar
2479,designar
2486,competir
2496,secar
2502,imprimir
2507,conversar
2509,lamentar
2511,alzar
2515,iluminar
2522,guiar
2523,efectuar
2531,calentar
2534,proseguir
2552,cansar
2555,heredar
2556,librar
2558,brillar
2559,rescatar
2564,extrañar
2565,asustar
2570,anotar
2580,remontar
2599,convocar
2621,generalizar
2624,habitar
2627,armar
2637,anular
2649,alargar
2662,estimular
2667,pisar
2673,violar
2681,enriquecer
2689,alegrar
2690,transportar
2697,triunfar
2715,acoger
2717,sembrar
2718,acentuar
2722,entretener
2723,desviar
2724,retroceder
2731,sonreír
2733,relatar
2740,difundir
2741,lucir
2750,reservar
2752,sacrificar
2755,exagerar
2764,residir
2767,promover
2770,reparar
2773,administrar
2775,ahorrar
2779,enterrar
2782,contraer
2788,reflexionar
2810,centrar
2819,originar
2821,ahogar
2823,esforzar
2826,detectar
2829,autorizar
2832,afrontar
2836,restar
2839,concretar
2840,picar
2846,jurar
2847,rezar
2857,inducir
2859,encantar
2868,privar
2869,deducir
2870,redactar
2872,planear
2873,abrazar
2874,tolerar
2877,descartar
2879,sujetar
2892,trazar
2896,presionar
2900,reiterar
2905,distraer
2907,tropezar
2910,diseñar
2911,proveer
2912,seleccionar
2913,convivir
2916,progresar
2923,abundar
2928,asimilar
2941,tejer
2944,proclamar
2949,plantar
2951,derrotar
2952,frenar
2954,adivinar
2958,pescar
2965,tragar
2967,flotar
2969,sacudir
2976,suprimir
2978,sobrar
2979,brotar
2994,valorar
2995,diferenciar
3006,compensar
3008,asignar
3010,suscitar
3011,finalizar
3012,reforzar
3018,evolucionar
3020,presidir
3027,agitar
3036,oler
3037,aludir
3041,resumir
3047,burlar
3049,encajar
3050,nadar
3053,acelerar
3058,desplegar
3059,desembocar
3063,aliviar
3066,cazar
3068,aplaudir
3071,motivar
3072,descuidar
3077,acostar
3084,conectar
3087,arder
3102,localizar
3109,herir
3119,precipitar
3121,excluir
3124,adorar
3129,beneficiar
3141,despreciar
3144,improvisar
3145,emerger
3146,clavar
3153,volcar
3156,barrer
3160,rogar
3162,programar
3166,ensayar
3172,votar
3174,aislar
3179,rodar
3183,arriesgar
3186,bautizar
3188,desatar
3189,alentar
3190,descargar
3193,enamorar
3198,reemplazar
3201,soplar
3222,regir
3224,bañar
3226,rozar
3234,remitir
3240,disolver
3243,velar
3254,persistir
3255,temblar
3261,cenar
3263,tornar
3267,perjudicar
3270,prevenir
3276,culminar
3288,preceder
3303,alternar
3308,acertar
3313,batir
3320,demorar
3331,calmar
3340,presumir
3350,fluir
3352,asesinar
3361,preservar
3364,disimular
3366,perfeccionar
3372,cocinar
3375,navegar
3391,aplastar
3396,subrayar
3421,apoderar
3422,debatir
3423,reponer
3425,disputar
3439,arrebatar
3444,odiar
3453,insinuar
3456,fallecer
3460,eludir
3464,ocasionar
3489,retomar
3494,asentar
3501,estrechar
3502,traspasar
3516,consumar
3517,asaltar
3528,arrepentir
3532,felicitar
3538,presenciar
3544,derrumbar
3558,dañar
3565,asombrar
3578,oscilar
3580,recobrar
3584,vaciar
3588,morder
3589,atrapar
3591,amanecer
3594,recitar
3595,explorar
3597,embarcar
3598,aguardar
3602,parir
3603,refugiar
3610,verificar
3616,extinguir
3619,agradar
3620,sobrepasar
3623,narrar
3628,florecer
3631,acarrear
3634,profundizar
3635,apostar
3642,clasificar
3643,recortar
3651,deslizar
3652,estirar
3658,abusar
3659,complementar
3662,revivir
3664,conmover
3671,charlar
3675,equivaler
3676,fomentar
3686,reanudar
3688,mudar
3692,prescindir
3696,besar
3701,resaltar
3704,intercambiar
3705,consolar
3706,descomponer
3707,enfocar
3713,traicionar
3734,contrastar
3740,desenvolver
3746,interrogar
3748,subsistir
3752,revolver
3754,retornar
3761,alquilar
3763,radicar
3766,mojar
3772,derribar
3779,sobresalir
3781,filtrar
3787,movilizar
3790,apelar
3793,entusiasmar
3799,coser
3819,madurar
3820,almorzar
3822,albergar
3823,complacer
3827,remover
3828,pecar
3831,acontecer
3834,desbordar
3836,alegar
3839,encarar
3848,tranquilizar
3850,emigrar
3855,desechar
3869,estrenar
3877,incitar
3884,propiciar
3888,cuestionar
3893,fundir
3895,reprimir
3901,meditar
3917,predicar
3918,encarnar
3921,negociar
3931,honrar
3933,desencadenar
3936,ofender
3938,enfriar
3941,ilustrar
3942,ratificar
3945,destrozar
3947,simular
3960,consentir
3962,paralizar
3963,disipar
3964,incrementar
3982,reprochar
3985,alumbrar
3993,inscribir
3998,dotar
4009,reventar
4024,aburrir
4029,diluir
4035,titular
4037,frecuentar
4044,desafiar
4050,despojar
4054,reinar
4065,hervir
4079,disculpar
4085,perdurar
4090,inundar
4101,articular
4112,debilitar
4113,fingir
4114,igualar
4116,trepar
4131,regular
4133,rematar
4139,argumentar
4142,poblar
4143,contradecir
4145,manipular
4148,regar
4149,evocar
4154,prosperar
4158,arrasar
4159,rebajar
4160,entrevistar
4177,replicar
4179,adornar
4183,concurrir
4187,restaurar
4188,retrasar
4191,palpar
4205,aparentar
4212,oscurecer
4221,torcer
4222,derramar
4226,agravar
4229,interponer
4230,topar
4232,enlazar
4237,colar
4246,encaminar
4252,invocar
4254,ostentar
4257,configurar
4265,prevalecer
4272,engendrar
4273,contagiar
4276,consagrar
4299,ceñir
4314,constatar
4319,dispersar
4323,vacilar
4325,capturar
4327,remediar
4328,fiar
4329,desfilar
4337,reaparecer
4344,obrar
4346,coronar
4347,liquidar
4353,repasar
4368,intuir
4370,devorar
4373,aferrar
4376,consolidar
4377,apresurar
4379,latir
4389,apurar
4390,insultar
4392,sustentar
4398,acariciar
4407,vincular
4409,fortalecer
4413,vibrar
4414,calzar
4419,evaluar
4420,emocionar
4421,editar
4431,sumergir
4435,espantar
4441,agrupar
4448,atener
4460,encabezar
4475,chupar
4490,inquietar
4495,expandir
4496,predecir
4498,condicionar
4503,alertar
4513,enfermar
4515,indagar
4534,exceder
4535,joder
4537,alarmar
4542,rascar
4548,enredar
4558,suspirar
4561,conferir
4567,predominar
4573,despejar
4583,premiar
4588,desayunar
4603,resucitar
4615,financiar
4619,sudar
4627,perturbar
4631,envidiar
4632,reposar
4639,deteriorar
4642,desesperar
4645,ligar
4655,mediar
4656,endurecer
4665,vislumbrar
4670,entrenar
4680,razonar
4683,rectificar
4701,excitar
4706,enumerar
4709,posar
4711,irritar
4720,tumbar
4721,adentrar
4724,relajar
4728,recrear
4736,impartir
4742,asentir
4751,aflojar
4766,ensuciar
4767,largar
4783,presentir
4785,insertar
4791,discurrir
4796,engordar
4800,aventurar
4802,demandar
4805,renacer
4806,restablecer
4811,sobrevenir
4813,rebasar
4820,acatar
4821,transitar
4826,percatar
4828,encomendar
4831,seducir
4841,incidir
4849,vengar
4851,estropear
4854,fascinar
4867,incurrir
4869,tentar
4878,resignar
4883,dialogar
4890,adherir
4896,alojar
4899,internar
4915,bordear
4918,instruir
4924,verter
4925,desmentir
4946,descifrar
4952,entablar
4958,propagar
4969,perfilar
4974,decaer
4979,disfrazar
4994,irrumpir
